run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,41,heartrate,heartrate,3.090303,3.30516,3.30516,0.136144,0.136144,0.000826,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,42,heartrate,heartrate,3.140153,3.36588,3.36588,0.14421,0.14421,0.000789,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,43,heartrate,heartrate,3.176311,3.543665,3.543665,0.27728,0.27728,0.0008,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,44,heartrate,heartrate,3.14041,3.375805,3.375805,0.137357,0.137357,0.000694,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,45,heartrate,heartrate,3.141996,3.353519,3.353519,0.133735,0.133735,0.000754,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,46,heartrate,heartrate,3.208198,3.452158,3.452158,0.164934,0.164934,0.000706,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,47,heartrate,heartrate,3.317817,3.54295,3.54295,0.143583,0.143583,0.000862,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,48,heartrate,heartrate,3.266342,3.489476,3.489476,0.142344,0.142344,0.000834,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,49,heartrate,heartrate,3.232393,3.446761,3.446761,0.133497,0.133497,0.000748,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,0,heartrate,"heartrate,heartrate",3.303759,3.996127,1.9980635,0.3056935,0.611387,0.0004585,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,1,heartrate,"heartrate,heartrate",3.208896,4.008879,2.0044395,0.359403,0.718806,0.0004485,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,2,heartrate,"heartrate,heartrate",3.207706,4.003132,2.001566,0.3575235,0.715047,0.000472,444.38818359375
